 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account

 Ground state electric dipole moment in X,Y,Z:    0.000000   -0.000000    0.000002 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
    13    13     0.0000000    -0.0000000     0.0000028     0.00000     0.00000
    13    14    -0.0000000     0.0000000    -0.2028601     0.04450     0.00004
    13    15    -0.0000063     0.0000191    -0.0000000     0.13260     0.00000
    13    16    -0.0000000    -0.0000000    -0.0000062     0.26200     0.00000
    13    17    -0.1210018     0.0854027    -0.0000000     0.31800     0.00017
    13    18     0.0000000     0.0000000     0.0000000     0.32050     0.00000
    13    19     0.0000000    -0.0000000    -0.0000018     0.32520     0.00000
    13    20    -0.0000000     0.0000000     0.0000025     0.33230     0.00000
    13    21     0.0000000     0.0000000     0.0000000     0.39530     0.00000
    13    22    -1.8024320     4.2232994     0.0000000     0.44980     0.23235
    13    23     4.5667757     1.9904094    -0.0000000     0.60360     0.36699
    13    24     0.0000000     0.0000000     0.0000000     0.63280     0.00000
    13    25     0.0000025     0.0000007     0.0000000     0.63990     0.00000
    13    26    -0.0000000     0.0000000    -0.0930034     0.65710     0.00014
    13    27     0.0000000     0.0000000     0.0000000     0.74790     0.00000
    13    28    -0.0000000    -0.0000000     0.1353948     0.76000     0.00034
    13    29     0.0000000     0.0000000     0.0000013     0.79160     0.00000
    13    30     0.0000000     0.0000000     0.0000000     0.81310     0.00000
    14    14     0.0000000    -0.0000000     0.0000068     0.00000     0.00000
    14    15    -0.0093662     0.0159037     0.0000000     0.08810     0.00000
    14    16    -0.0000000    -0.0000000     0.1521231     0.21750     0.00012
    14    17     0.0000050     0.0000030    -0.0000000     0.27350     0.00000
    14    18    -0.0000011     0.0000036    -0.0000000     0.27600     0.00000
    14    19     0.0000000     0.0000000     0.0098351     0.28070     0.00000
    14    20    -0.0000000    -0.0000000     0.0086940     0.28780     0.00000
    14    21     0.0000000     0.0000000     0.0000000     0.35080     0.00000
    14    22     0.0000003    -0.0000010     0.0000000     0.40530     0.00000
    14    23     0.0000012    -0.0000008    -0.0000000     0.55910     0.00000
    14    24    -0.0000000     0.0000000    -0.0249756     0.58830     0.00001
    14    25     0.0198283     0.3897048     0.0000000     0.59540     0.00222
    14    26     0.0000000     0.0000000     0.0000000     0.61260     0.00000
    14    27    -0.0000005     0.0000007    -0.0000000     0.70340     0.00000
    14    28     0.0000000    -0.0000000    -0.0000000     0.71550     0.00000
    14    29     0.0000000    -0.0000000     0.0257850     0.74710     0.00001
    14    30     0.0000014     0.0000006    -0.0000000     0.76860     0.00000
    15    15     0.0000000    -0.0000000    -0.0000024     0.00000     0.00000
    15    16    -0.0000008     0.0000026    -0.0000000     0.12940     0.00000
    15    17    -0.0000000    -0.0000000     0.0096026     0.18540     0.00000
    15    18    -0.0000000    -0.0000000    -0.1550395     0.18790     0.00011
    15    19     0.0000014    -0.0000020     0.0000000     0.19260     0.00000
    15    20    -0.0000015     0.0000059     0.0000000     0.19970     0.00000
    15    21     5.1184772     1.8676669     0.0000000     0.26270     0.19107
    15    22    -0.0000000     0.0000000    -0.0538815     0.31720     0.00002
    15    23    -0.0000000     0.0000000    -0.0033714     0.47100     0.00000
    15    24    -0.0000019    -0.0000018     0.0000000     0.50020     0.00000
    15    25     0.0000000    -0.0000000     0.0000009     0.50730     0.00000
    15    26     1.3185132    -4.0857988    -0.0000000     0.52450     0.23685
    15    27     0.0000000     0.0000000     0.0000000     0.61530     0.00000
    15    28     0.6681403     0.3967955     0.0000000     0.62740     0.00928
    15    29    -0.0000001     0.0000005    -0.0000000     0.65900     0.00000
    15    30     0.0000000    -0.0000000     0.0258850     0.68050     0.00001
    16    16     0.0000000     0.0000000     0.0000099     0.00000     0.00000
    16    17     0.3327878    -1.1217186    -0.0000000     0.05600     0.00188
    16    18     0.0000000     0.0000000     0.0000000     0.05850     0.00000
    16    19     0.0000000     0.0000000     0.0000015     0.06320     0.00000
    16    20    -0.0000000    -0.0000000    -0.0000020     0.07030     0.00000
    16    21    -0.0000000     0.0000000    -0.0918234     0.13330     0.00003
    16    22     2.4205567     1.5474281     0.0000000     0.18780     0.03798
    16    23     1.3010166    -3.1017247     0.0000000     0.34160     0.09468
    16    24     0.0000000     0.0000000     0.0000000     0.37080     0.00000
    16    25     0.0000074    -0.0000000     0.0000000     0.37790     0.00000
    16    26     0.0000000     0.0000000     0.0030426     0.39510     0.00000
